,Gini
alpha-AB_mom-2,0.01384360213860214
TP-P1_cel-1,0.013829215718921602
alpha-P2_B0035.3,0.01382103785103785
TP-P2_acs-19,0.013784887334887334
alpha-AB_otub-3,0.013774783633874544
TP-P0_tbc-2,0.013774447543197543
alpha-diff_usp-4,0.013772738372738375
alpha-ABa_thoc-3,0.013729874384874385
TP-P0_mlh-1,0.013707078324725386
TP-P0_stl-1,0.013672764399547614
alpha-P1_emb-5,0.013653814871996687
alpha-ABa_plrg-1,0.013652909136318227
alpha-diff2_C50E3.12,0.013649142687377982
alpha-diff2_mex-3,0.013633019224783934
alpha-diff2_tbb-1,0.013627780876530876
alpha-ABa_snr-3,0.01360664714073805
TP-AB_eef-1A.1,0.013600311587921883
TP-P2_egg-6,0.013579505287740582
alpha-AB_rgs-11,0.01357420806098125
alpha-AB_ahsa-1,0.013567754467754468
TP-ABa_srrt-1,0.013517168656259567
alpha-P2_msh-6,0.013514200184347243
TP-P2_fat-1,0.01348711947774448
alpha-diff_F56C9.10,0.013436419167953259
TP-AB_panl-2,0.013432305926396835
alpha-P2_mog-5,0.013421231285174976
TP-ABa_C01G6.3,0.013368456982831982
TP-P0_mex-5,0.013277074777074778
alpha-diff_natc-1,0.013235418611889201
alpha-diff_ccdc-47,0.013223502623218532
alpha-P1_npp-1,0.013195923067945129
alpha-diff2_mvk-1,0.013171351445148236
alpha-P1_hda-1,0.013165923129158425
TP-AB_Y22D7AL.10,0.013142350049317835
TP-P2_his-74,0.013138330601022909
alpha-P2_unc-59,0.013135994680700563
alpha-AB_kin-18,0.013093788234557464
TP-P1_fib-1,0.013078163040663041
TP-P2_ran-4,0.01306178495164509
alpha-P2_eco-1,0.01305809465156056
TP-ABa_F22B5.10,0.013046545826307734
alpha-P2_rpn-11,0.013007384856181648
alpha-diff_acdh-3,0.01300479014041514
TP-P1_mex-5,0.01299671162171162
TP-P0_pdi-2,0.012971865056240057
alpha-diff_prmt-9,0.012940681100820962
alpha-P2_pck-2,0.012916724456099456
TP-P0_ani-1,0.01291641969141969
alpha-P1_sams-3,0.01288811937172514
TP-ABa_hrpr-1,0.012831408433614315
alpha-diff2_mogs-1,0.012815844213604396
TP-ABa_F18A1.7,0.012800130957005957
TP-AB_F49C12.9,0.012791277179610512
alpha-P2_lin-52,0.012776389833457141
alpha-diff2_syf-2,0.012775881155881158
alpha-P2_vps-20,0.012680890800376095
alpha-ABa_F22B5.10,0.012678911450017219
alpha-diff2_B0464.9,0.012678636118912729
alpha-diff2_Y18D10A.11,0.012663635407101317
alpha-diff_Y51F10.2,0.012656985699485698
TP-P1_lag-1,0.012537515872174965
alpha-diff_nurf-1,0.012525338670044553
TP-P2_dao-5,0.01251600677100677
alpha-diff_gst-7,0.012494441832677125
alpha-diff_F33D11.10,0.012433825082136732
alpha-ABa_ctr-9,0.012421499796499796
TP-AB_C56A3.4,0.012388321507552275
alpha-diff_akt-1,0.012379636741612363
alpha-P2_mek-1,0.01237524387785417
alpha-diff_D2005.4,0.012372983987689871
alpha-diff2_ztf-23,0.012368797698028467
